pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2024000484,1,1,1,6900,309,374,,12540003,,,,,51,2024,10,61,4,1,6,3,2,0,3,2,1,3,3,1,1,1,9,9,9,0,0,9,4,42,421,0,14,1,192344,676715
2024000497,1,2,4,0,,,,,60,0,687,,43,2024,1,40,4,1,4,2,2,0,2,5,1,3,3,1,9,1,9,9,9,0,0,9,7,77,777,99,99,1,212590,615604
2024000500,1,1,2,8600,803,,3,,,,,,20,2024,7,45,4,1,5,3,1,1,0,1,1,0,4,1,1,1,9,9,9,1,2,2,5,51,512,0,14,1,182950,665661
2024000507,1,1,4,0,,,,,6,0,1800,,12,2024,10,15,4,5,3,2,3,0,2,8,1,5,4,3,1,1,9,9,9,0,0,9,3,32,324,99,99,1,203060,704856
2024000508,1,1,1,7900,141,1018,,17200001,,,,,51,2024,10,58,4,1,3,3,2,1,0,1,1,3,3,1,1,1,9,9,9,0,0,9,4,42,422,0,13,1,187371,667667
2024000515,1,1,1,6700,217,309,,8540001,,,,,12,2024,10,79,4,5,7,2,1,9,0,0,0,0,5,6,9,9,9,9,9,1,1,1,2,22,221,0,16,1,250741,743492
2024000524,1,2,2,3797,216,,21,,,,,,43,2024,6,39,4,1,5,3,1,0,2,1,1,2,3,1,1,1,9,9,9,3,3,9,7,77,777,0,15,3,203959,648056
2024000535,1,1,4,0,,,,,1,0,543,,61,2024,6,29,4,1,6,2,11,3,0,6,1,2,5,11,9,5,9,9,9,0,0,9,1,11,111,99,99,1,216507,634110
2024000544,1,1,1,70,402,401,,8330071,,,,,38,2024,12,56,4,1,1,3,2,0,5,1,1,4,3,1,1,1,9,9,9,0,0,9,6,61,613,0,13,1,165432,632816
2024000557,1,1,1,3000,4805,4827,,92872446,,,,,61,2024,7,42,4,1,5,3,2,1,0,7,1,2,4,11,9,1,9,9,9,0,0,9,1,11,111,0,12,1,222945,636341
2024000560,1,1,2,70,580,,9999,,,,,,38,2024,12,1,4,5,1,2,8,0,4,1,1,3,4,3,9,1,1,9,9,0,0,9,6,61,613,0,13,3,166875,632632
2024000604,1,1,1,4000,607,1206,,18290001,,,,,11,2024,2,43,4,1,5,3,2,0,4,1,1,2,3,1,9,1,9,9,9,0,0,9,3,31,311,0,13,1,199249,743382
2024000615,1,1,2,6600,796,,9999,,,,,,20,2024,7,2,4,5,4,1,4,1,0,1,1,4,3,3,1,1,9,9,9,0,0,9,5,51,513,0,14,3,178052,656515
2024000619,1,1,1,4000,559,592,,16870323,,,,,11,2024,6,43,4,1,4,3,2,3,0,1,1,4,3,1,1,1,9,9,9,0,0,9,3,31,311,0,13,1,196368,746533
2024000621,1,1,1,2500,173,257,,15410001,,,,,11,2024,7,43,4,1,6,3,2,3,0,1,1,3,3,1,1,1,9,9,9,0,0,9,3,31,311,0,16,1,203509,742988
2024000623,1,1,2,4000,554,,22,,,,,,11,2024,5,44,4,1,3,3,1,3,0,1,1,2,3,1,1,1,9,9,9,3,3,1,3,31,311,0,13,1,196435,747307
2024000652,1,1,3,0,,,,,3,4106,2573,143,52,2024,4,27,4,5,2,3,2,0,3,4,1,4,3,6,1,1,9,9,9,0,0,9,4,44,441,99,99,1,186741,635291
2024000658,1,1,1,4000,110,239,,30111,,,,,12,2024,6,36,4,1,2,3,2,0,3,1,1,1,3,1,1,1,9,9,9,0,0,9,3,31,311,0,13,1,205511,748542
2024000680,1,1,2,2650,221,,63,,,,,,20,2024,12,79,4,5,3,3,1,3,0,1,1,0,3,3,1,1,9,9,7,8,0,9,5,51,511,0,16,1,185446,672311
2024000686,1,1,4,0,,,,,471,0,55,,51,2024,2,45,4,1,1,2,4,0,2,7,1,5,3,1,1,1,9,9,9,0,0,9,4,42,422,99,99,1,190148,663991
2024000691,1,1,1,5000,2621,3281,,25230923,,,,,20,2024,1,49,4,1,5,3,1,3,0,0,1,2,3,1,2,9,9,9,9,4,3,9,5,51,511,0,13,1,181479,662450
2024000695,1,1,1,70,500,502,,10150149,,,,,38,2024,8,67,4,1,5,3,2,0,3,2,1,2,3,1,1,1,9,9,9,0,0,9,6,61,613,0,13,1,167945,636229
2024000719,1,1,1,8400,521,502,,9080009,,,,,52,2024,2,59,4,1,5,3,1,0,3,1,1,2,3,1,1,1,9,9,9,3,3,9,4,44,441,0,14,1,182637,645552
2024000736,1,1,1,8600,411,201,,97710244,,,,,20,2024,8,72,4,1,3,3,1,1,0,1,1,2,3,1,1,1,9,9,9,3,3,9,5,51,512,0,14,1,183032,666821
2024000764,1,1,4,0,,,,,781,0,23,,12,2024,4,80,4,5,3,1,10,0,2,3,1,3,3,3,1,1,9,9,9,0,0,9,3,31,311,99,99,1,208169,746721
2024000769,1,1,4,0,,,,,65,0,207,,12,2024,6,72,4,1,4,2,2,0,2,5,1,3,3,1,1,1,9,9,9,0,0,9,3,32,323,99,99,1,208306,712099
2024000775,1,1,2,9000,949,,9999,,,,,,34,2024,5,74,4,1,2,2,11,9,0,0,0,0,5,11,9,9,9,9,9,0,0,9,6,62,623,0,13,3,179368,572097
2024000784,1,1,2,7400,407,,9999,,,,,,51,2024,7,65,4,1,6,3,2,1,0,1,1,2,3,1,1,1,9,9,9,0,0,9,4,41,411,0,13,3,186985,692550
2024000790,1,1,4,0,,,,,4,0,2341,,12,2024,6,74,4,1,6,3,3,3,0,4,1,2,3,1,1,1,9,9,9,0,0,9,2,24,246,99,99,1,208830,761887
2024000796,1,1,4,0,,,,,65,0,705,,12,2024,4,48,4,1,6,2,2,9,0,0,0,0,5,11,9,9,9,9,9,0,0,9,2,22,222,99,99,1,238456,742274
2024000799,1,1,4,0,,,,,431,0,138,,52,2024,1,47,4,1,2,1,17,0,2,5,1,4,3,1,1,1,9,9,6,0,0,9,4,44,442,99,99,1,181015,650864
2024000805,1,1,1,7400,1025,1024,,10410001,,,,,51,2024,7,76,4,1,3,2,5,0,4,1,1,4,3,1,1,1,9,9,9,0,0,9,4,41,411,0,13,1,187322,688283
2024000808,1,1,2,5000,361,,9999,,,,,,20,2024,2,88,4,5,5,3,2,1,0,1,1,3,3,6,1,1,9,9,9,0,0,9,5,51,511,0,13,3,184809,668575
2024000819,1,1,4,0,,,,,25,0,1408,,34,2024,6,69,4,1,2,1,3,0,2,5,1,3,5,1,1,1,9,9,9,0,0,9,6,62,626,99,99,1,201885,552294
2024000824,1,1,4,0,,,,,8721,0,9,,12,2024,5,25,4,1,7,1,8,3,0,3,1,2,3,1,3,1,6,2,9,0,0,9,2,24,245,99,99,1,214850,765830
2024000828,1,1,4,0,,,,,20,0,30,,52,2024,10,34,4,1,2,2,3,9,0,0,0,0,5,11,9,9,9,9,9,0,0,9,4,44,442,99,99,1,177083,653565
2024000834,1,1,3,0,,,,,5,40,105,4021,51,2024,5,57,4,1,7,3,2,0,4,5,1,4,3,1,1,1,9,9,9,0,0,9,4,42,422,99,99,1,191061,669819
2024000839,1,1,4,0,,,,,75,0,399,,12,2024,6,50,4,1,1,1,3,1,0,5,1,3,3,1,1,1,9,9,9,0,0,9,3,31,311,99,99,1,208871,737260
2024000848,1,1,3,0,,,,,20,0,60,8062,20,2024,12,4,4,5,4,3,2,3,0,1,1,0,3,3,1,1,9,9,9,0,0,9,5,51,513,99,99,1,177427,656553
2024000887,1,1,2,3000,4328,,5,,,,,,61,2024,3,78,4,5,4,3,1,3,0,1,1,2,3,6,1,1,9,9,9,3,3,1,1,11,111,0,12,1,222476,628532
2024000920,1,1,3,0,,,,,9,6,135,4204,12,2024,5,35,4,1,3,2,2,0,3,5,1,4,3,1,1,1,9,9,9,0,0,9,3,32,324,99,99,1,202232,701977
2024000923,1,1,1,5000,2524,2604,,12280911,,,,,20,2024,7,5,4,5,4,3,2,1,0,1,1,3,3,3,1,1,9,9,9,0,0,9,5,51,511,0,13,1,180760,664424
2024000943,1,2,4,0,,,,,3755,0,49,,43,2024,8,73,4,1,2,2,5,2,0,2,1,2,3,1,1,1,9,9,9,0,0,9,1,11,111,99,99,1,213984,626792
2024000953,1,1,1,7900,810,129,,9080032,,,,,51,2024,10,38,4,1,3,3,1,3,0,1,1,0,3,1,1,1,9,9,9,3,3,9,4,42,422,0,13,1,189168,665399
2024000956,1,1,2,7400,419,,3,,,,,,51,2024,11,32,4,1,1,3,1,0,4,1,1,5,3,1,1,1,9,9,9,3,3,1,4,41,411,0,13,1,186210,692504
2024000962,1,1,3,0,,,,,4,0,665,9054,38,2024,1,2,4,5,7,2,2,0,3,5,1,3,3,5,9,1,9,9,9,0,0,9,6,61,614,99,99,1,163077,621044
2024000965,1,1,3,0,,,,,4,5,1228,323,20,2024,11,41,4,1,3,2,4,3,0,1,1,4,5,1,1,1,9,9,9,0,0,9,5,51,511,99,99,1,186556,670189
